proud|горжусь
were proud|гордились
Privet Drive|Тисовой
expect|ожидать
to be involved|чтобы быть вовлечены
nonsense|бред
hold|держать
beefy|раскормленные
hardly|вряд ли
did have|не было
mustache|усы
nearly|почти
craning|вытянув
fences|заборы
finer|тоньше
could bear it|могла этого вынести
pretended|прикинулся
good-for-nothing husband|непутевый муж
shuddered|передернуло
to think|думать
arrived|приехали
even|даже
mixing|смешивая
snapped|нарасхват
seized|захватили
I eat apples every day|Я каждый день ем яблоки
I ate apples yesterday|Я вчера съела яблоки
I will eat apples in summer|Я буду есть яблоки летом
We are eating the same apple now|Мы едим одно яблоко сейчас
I was eating an apple when my mother came|Я поедал яблоко, когда мама пришла
I will be eating apples at 5 o'clock tommorow|Я буду поедать яблоки в 5 часов завтра
I have already eaten this apple|Я уже съела это яблоко
We had eaten apples and began to eat plums|Мы ели яблоки и начал есть сливы
I will have eaten this apple before the midnight|Я доем это яблоко до полуночи
I have been eating this apple since early morning|Я поедаю это яблоко с раннего утра
I had been eating apples for two hours when my friend arrived|Я поедал яблоки в течение двух часов, когда приехала моя подруга
I will have been eating this apple for two hours before the guard comes|Я буду поедать это яблоко уже два часа, прежде чем придет стража
