a necessity|необходимость
an opportunity|возможность
an effort|усилие
confident|уверен
fewer|меньше
less|меньше
particular|особое
assignment|назначение
often|часто
abroad|за рубежом
outlet|выход
attend|участие
owner|владелец
subsidiary|филиал
temporary situation|временная ситуация
profit|прибыль
figures|цифры
arrangements|механизмы, мероприятия, соглашения
representative|представитель
enquiries|запросы
expand|развернуть
independent|независимые
impartial|беспристрастный
advice|советы, рекомендации, заключение
experienced|опытные
raise|подъем
rarely|редко
meet the needs|удовлетворения потребностей
competitive|низким
we are willing|мы готовы
reward|награда
attractive|привлекательная
ongoing|продолжается
customers|клиенты
routine|рутина
achievements|достижения
interests|интересы
refer|см
special skills|специальные навыки
able|возможность
tight deadlines|сжатые сроки
challenging|сложные
responsibility|ответственность
contributed|вклад
successful|успешный
advertising|реклама
spreadsheets|таблицы
negotiating|ведение переговоров
foreign|иностранных
domestic|отечественные
proficient user|Опытный пользователь
choir|хор
amateur|любитель
appropriate|уместно
partnership|партнерство
have been warned|были предупреждены
employment prospects|перспективы трудоустройства
research|исследования
admitted|признался
rejecting|отвергая
behaviour|поведение
to be scared of|бояться
proactively|превентивно
essential|важно
employer|работодателем
faux pas|бестактность
complain|жаловаться
job opportunities|вакансии
advantage|преимущество
conveying|развозка
cautioned|получает
against|против
