reshape|изменить
offering|предлагая
convenient|удобный
preeminent|выдающийся
contribution|вклад
java|ява, кофе
charge|плата, заряд, обязанность
except|кроме, исключая, кроме того
constraint|ограничение
imposed|наложенный, навязанный, установленный
poorly|плохо, неудачно, некачественно
devise|разработать
similarities|сходство
especially|особенно
tempting|заманчиво
however|однако
significant|значительное
influenced|под влиянием, влияние
although|хотя
enhanced|улучшенный
neither|ни
upwardly|вверх
nor|ни
downwardly|вниз
solve|решить
certain|некоторые
coexist|сосуществовать
apple|яблоко
pen|ручка
pencil|карандаш
intended|предназначен
handle|ручка, обработка, дескриптор, управление
desirable|желательно
obviously|очевидно, явно, конечно
environment|окружающая среда, окружение
malicious|вредоносных
gained|приобрел
gather|собрать
many|многие
trouble|беда
dropping|падая
landing|посадка
falling|падение
descending|по убыванию
can have|может быть
pulled|вытащил
advice|советы
knowledge|знания
habit|привычка
custom|заказ
way|путь
system|система
way of life|образ жизни
attitude|отношение
behaviour|поведение
manner|образом
style|стиль
among|среди
beside|рядом
with|с
permission|разрешение
contribute|вклад
supply|поставка
give|дать
produce|производим
agreed|договорились
fitting|сторона
handy|удобно
suitable|подходит
involve|привлекать
undertake|провести
enlist|заручиться
annoyance|раздражение
seem|кажется
offence|преступление
insult|оскорбление
indignation|возмущение
send|отправить
will have become|станет
to shut|закрыть
even|даже
hurry|спешите
passing by|проходя мимо
for myself|для себя
in my own|в моем собственном
only myself|только сам
spite|несмотря на
providing|предоставление
earn|заработать
suffers|страдает
absence|отсутствие
